Name,Age,Gender,Location,Daily_Usage_Hours,Sleep_Hours,Interllectual_Performance,Social_Interactions,Exercise_Hours,Anxiety_Level,Depression_Level,Self_Esteem,Screen_Time_Before_Bed,Phone_Checks_Per_Day,Apps_Used_Daily,Time_on_Social_Media,Time_on_Gaming,Time_on_Education,Phone_Usage_Purpose,Family_Communication,Weekend_Usage_Hours,Addiction_Level
Mary Golden,15,Other,New Melissaberg,5.2,7.5,72,6,0.4,10,10,3,0.6,96,18,2.2,0.4,0,Other,9,5.2,9.6
Pam Roach,14,Female,Kimberg,8.1,6.9,69,10,0,9,9,3,0.1,60,10,1.8,1.8,0.1,Gaming,8,7.7,10
Jacob Ferguson,13,Female,Padillamouth,7.4,8.5,78,4,1.3,10,6,9,0.5,44,20,0,1.5,0.2,Social Media,10,4.9,9.5
Samuel Perry,17,Female,West Tiffany,3.8,7.9,61,5,0,2,6,6,0.6,57,9,3.7,0.7,0.9,Other,7,2.7,7.2
Mary Anderson,16,Male,Lake Nicolechester,5.5,8.5,57,9,1,8,5,7,2.1,100,15,1.7,2,0.3,Social Media,5,6.8,10
Daniel Grant,19,Other,Lake Taramouth,7,5.9,63,2,1.1,5,3,9,1.1,89,9,2.4,1.6,0.9,Education,3,5.9,10
Patricia Mcdonald,17,Other,Rasmussenland,5,9.9,68,5,1.5,2,7,2,0.6,35,6,3.8,0,1.9,Education,10,2.4,5.7
Andrea Howe DVM,15,Other,South Emily,6.8,3.9,64,7,1,2,6,5,0.6,93,10,1.6,1.3,0.8,Browsing,7,4.3,10
Samuel Maldonado,14,Female,New Phillip,3.5,5.6,75,5,0,7,7,9,0.8,143,19,3.3,0.5,0.5,Other,10,7.7,10
Greg Sanders,17,Other,Murillobury,7.5,3.8,62,6,0.9,6,3,3,0.3,45,19,1.9,0.4,0.4,Browsing,8,4.9,10
John Collins,16,Female,Port Ashleyland,5.3,5.6,79,4,1.4,7,3,9,0.6,128,5,3.4,1.5,1.5,Browsing,6,8.6,10
Jessica Clark,18,Male,West Carlachester,4.1,6.1,78,6,2.1,4,1,5,1.7,36,16,3.4,1.8,1,Browsing,10,8.8,10
Emma Jones,15,Other,Kevinton,5.7,7.8,89,10,0,1,4,6,0.5,108,13,3.1,0.9,0.7,Other,2,5.5,10
Tammy Franco,14,Other,New Olivia,5.2,7.1,87,9,0.8,3,8,2,1,79,18,1.9,1.7,1.6,Social Media,8,7.5,10
Tracy Perry,19,Male,Evansmouth,1.4,6.5,55,1,1.1,8,2,8,0.7,133,20,0.8,0,2.3,Education,6,3.8,5.6
Rachel Harris,16,Other,Richardfurt,4.8,5.3,59,1,0,10,9,3,1.4,77,13,1,2.1,0.6,Social Media,9,6.6,9.4
Mr. Jacob Ryan,17,Other,Lake Carrie,5.3,6.4,83,4,0.5,4,1,5,1.1,145,9,2.2,1,1.8,Browsing,7,6.5,10
Kurt Singh,18,Male,Johnsontown,6.2,4.7,96,8,0.8,9,4,5,2,64,6,2.4,0.1,1,Social Media,1,5,8.8
Steven Brown,13,Female,Margaretville,9.3,4.8,73,0,0,1,1,10,1.5,114,8,2.6,2,1.5,Browsing,1,6.3,10
Daniel Klein,15,Other,East Jordan,7.4,6.8,63,1,0,9,8,1,1.7,97,16,5,3,0,Other,6,9.2,10
Jeremiah Miller,19,Other,New Tonystad,5.2,6,56,1,1.2,4,4,3,1.4,127,19,3,1.8,1.6,Social Media,3,4.2,10
Justin Williamson,19,Male,South Roy,5.5,7.1,86,10,1.4,9,6,7,1.3,72,17,4.2,2.7,1.5,Other,3,5.5,10
Robert Gardner,18,Female,Mitchellshire,4.8,6.8,51,2,0.9,7,2,10,1,79,16,2.5,0,2.1,Browsing,1,3.3,8.7
Ashley Johnson,14,Other,Lake Loriland,5.3,9.2,62,4,0.7,8,1,6,1.2,69,9,2.6,0.9,0.8,Browsing,2,7.3,7.4
Trevor Mata,14,Male,New Brittany,2.6,6.1,86,5,1.9,5,7,2,1.5,24,7,3.6,1.8,1.2,Education,2,5.7,6.8
Kevin White,13,Male,Andrewview,2.7,7.5,73,6,1.4,8,4,1,0.9,65,16,3.4,3.3,2.5,Browsing,3,7.3,10
Holly Marquez,17,Male,Lake Michelle,6,6,70,2,1.5,5,9,4,0.9,66,13,2.3,0,1.5,Browsing,2,5.8,9.2
Peggy Brown,17,Other,North Angelstad,3.7,8.3,57,0,2.8,10,2,9,1.3,26,13,3.2,0.1,0.6,Social Media,7,5,6
Kerri Miller,14,Male,Markfurt,10.3,9.8,86,8,0,3,7,2,0.9,68,9,2.9,0.7,0.7,Browsing,5,5.8,10
Andrea Wright,13,Male,North Melissa,2.7,6.8,62,1,1.3,10,1,9,1.5,34,8,0.8,4,1.1,Gaming,2,4.7,6.4
Daniel Glenn,13,Female,South Michael,4.1,7.8,76,7,1.2,4,1,8,1.2,91,14,2.1,0.2,1.3,Gaming,10,2.6,7.1
Kimberly Tanner,14,Male,Lake Sarah,3.5,5.6,58,0,1.7,5,7,9,1.2,109,8,1.7,1.7,1,Other,8,7,7.9
Andrew Gutierrez,17,Male,Smithside,6,5.6,98,3,1.3,9,6,2,0.8,113,7,2.2,0.4,0.3,Browsing,10,7.4,9.5
Allison Fisher,16,Male,Port Jacqueline,3.6,7,100,1,0,4,5,7,0.9,90,13,3.6,1.5,1.4,Gaming,3,7.6,9.6
Misty Patton,18,Female,Crystalborough,5,7.4,60,0,1,10,1,4,0.5,70,15,4.5,1,1,Education,5,3.8,10
Michelle Clark,17,Male,West Maryberg,4.5,8.2,98,10,1.1,8,1,9,1.8,53,19,2.2,2.9,2.2,Gaming,5,6.4,10
Carla Rodgers,14,Female,South Brianland,7.3,6.2,87,8,0.2,1,9,5,0,64,12,3.1,1.1,2.1,Other,5,6.3,10
Christopher Kerr,14,Other,Jonmouth,2.3,4.2,87,10,0.3,3,8,6,1.1,71,12,1.3,2.2,0.4,Social Media,8,6.4,7.5
Manuel Hunt,14,Male,South Christopher,3.6,4.8,88,5,0.7,4,8,2,0.3,21,11,2.9,2.1,0.1,Social Media,4,5.8,8.8
Travis Harris,14,Male,East Mariastad,8.7,7.1,98,7,0.5,1,4,10,1.7,94,16,3.4,1.9,1.3,Social Media,4,7.6,10
Gregory Johnson,19,Other,Lake Amy,4.3,5.5,52,2,0.6,2,1,3,0.7,68,18,2.5,1.3,1.5,Gaming,2,4.8,10
David White,19,Other,Andersonborough,1.4,6.1,62,5,0.4,8,2,1,0.3,77,8,1.4,1.5,1.3,Browsing,2,3,4.4
Luke Hamilton,14,Male,Ericland,5.7,5,62,9,0.4,3,3,1,0.5,58,18,3.9,3.4,1.1,Other,2,5,10
William Shaw,14,Female,East Anthony,7,3.5,94,1,0.4,2,1,1,0.4,87,19,4.4,1.6,0,Gaming,3,5.9,10
Robin Burns,17,Female,Campbellfurt,5.5,9.2,73,10,1.3,2,10,10,2.2,87,6,1.4,1.8,1.2,Gaming,9,7.9,7
Karen Webb,18,Other,New David,2.2,4.2,65,8,0.6,2,5,10,2,42,11,2.9,0.2,2.2,Browsing,1,8.6,6.2
Jesus Miller,16,Female,Ambermouth,6.4,5.9,81,9,1.4,3,6,6,0.4,27,12,2,1.7,1.5,Gaming,3,5.9,10
Miss Emily Jenkins DDS,13,Other,South Theresa,6,7,55,7,0.2,3,6,7,1.1,134,14,2.1,1.1,2,Other,7,5,10
Angela Lyons,14,Male,Howebury,6.4,5.1,50,8,0.5,2,4,9,1,82,15,3.3,0.2,0.8,Education,10,7.5,10
Christine Davenport,18,Other,East Jeffreyburgh,5.1,7.1,93,9,2.3,2,2,8,0.4,25,6,3.8,1.4,1.1,Browsing,6,6.8,8.4
Lauren Ballard,13,Female,East John,2.8,5.6,92,4,1.1,7,10,7,1.1,77,10,3.7,3.4,0.7,Social Media,5,7.1,10
Christina Davila,16,Male,Heatherfurt,6.3,5.7,87,8,2.9,6,1,8,0.2,36,5,2.1,2.3,2,Social Media,8,6.6,9.6
Joseph Watkins,15,Other,Emilystad,3.2,4.3,71,8,2.1,6,6,8,1.3,28,10,4.9,0,0.5,Browsing,1,10,8.5
Sandra Acevedo,17,Other,Robertsville,9,6.9,84,0,0.6,1,2,7,0.6,26,6,1.9,1.1,2.1,Social Media,2,7.4,10
Calvin Larsen,17,Female,Marieland,3.7,9.6,67,2,0.3,10,6,9,1,95,7,1.3,0,1.1,Social Media,8,6.1,3.5
Jesus Yates,16,Female,New Jennifer,3.9,6.4,53,4,0.9,7,10,2,0.3,80,15,2.7,1.8,1,Other,8,9.4,9.8
Bethany Murray,13,Female,Richardport,3.6,7.3,93,5,0,8,8,9,0.9,45,8,3.1,0,0.3,Gaming,9,5.2,5.5
Norman Hughes,14,Other,Rebeccaton,3.2,6.5,98,1,0,4,3,9,0.2,51,13,2.4,0.2,2.4,Social Media,9,5.9,6.2
Barbara Hinton,17,Female,Ramirezmouth,6.7,7.5,67,3,0.2,3,5,9,1.6,125,17,1.7,2.6,1.5,Browsing,4,6.1,10
Curtis Johnson,17,Male,Lake Alexander,3.5,6.9,79,4,2.1,4,5,5,0.6,117,8,0,2.3,0.1,Education,7,5.1,6.3
Shannon Francis,47,Female,Hansonfort,4,6.1,78,5,0.1,10,3,8,1.4,86,19,3.6,1.7,1.2,Browsing,4,8.7,10
Scott Rodriguez,66,Female,Theodorefort,5.5,6.5,70,5,0,3,7,3,0.9,96,9,1.1,4,1.8,Browsing,2,5.3,10
Adrian Knox,37,Other,Lindseystad,5.8,5.5,93,8,0.8,2,3,10,0.5,137,8,0.3,1.5,0.4,Education,6,5.7,9.2
Brittany Hamilton,38,Female,West Anthony,3.1,3.9,78,8,1.6,9,10,3,1.4,128,7,3.1,1.6,0.8,Social Media,8,3,9.8
Steven Smith,28,Other,Port Lindsaystad,2.5,6.7,56,4,1.1,1,5,1,1,96,20,2.6,0.9,1.1,Gaming,10,3.7,8.6
Mary Adams,98,Female,East Angelachester,3.9,6.3,89,3,0.7,7,1,3,1.1,135,8,3.8,0,1.4,Social Media,7,6,8.8
Hailey Moses,20,Male,North Jeffrey,6.3,6.7,89,3,0.9,6,7,9,0.8,129,9,1.8,2.7,1,Education,7,7.8,10
Veronica Marshall,57,Other,Jenniferport,5.1,6.1,70,2,2.2,5,6,8,1,34,7,2.3,1.6,0.5,Browsing,9,8,8
Edward Avila,76,Male,Leebury,3,9.1,79,0,1.8,1,7,6,0.9,70,13,2.7,2.2,1.3,Education,10,9.1,7.3
James Carter,26,Other,Prestonview,3.9,5.8,89,8,1.1,9,1,9,0.9,121,13,2.7,0.4,1,Other,9,2.9,9.1
Bobby Sparks,31,Female,Cherylburgh,4.9,7,74,5,0.6,4,3,2,0.6,84,20,3.1,0.6,0.8,Other,6,3.5,10
Ruben Walters,10,Male,Lake Mary,1.6,5.9,70,10,1.5,10,8,8,0.9,147,18,1.9,2.7,1,Browsing,7,3.2,9.8
Sarah Nguyen,76,Female,South Heatherton,7.4,5.8,70,4,0.6,4,9,3,1.1,59,19,4.3,0.4,0.4,Gaming,8,9.1,10
Melanie Phillips,62,Female,Port Angelaburgh,8.7,5.5,95,6,1.9,2,8,2,0.7,76,8,4.2,1.3,1.5,Education,5,4.6,10
Edwin Lambert,29,Other,New Emilyberg,6.4,8.5,79,3,0,2,8,9,0.5,50,14,5,1.2,0,Social Media,5,5.6,10
Gregory Hughes,43,Other,Port Charles,4.4,6.6,97,6,1.6,8,10,4,1.2,134,17,2.2,1.5,1.8,Education,4,6.8,10
Matthew Webb,14,Female,Lake Chase,5.4,7.8,87,4,2.3,6,6,9,0.9,36,20,2.6,1.3,1.1,Gaming,9,1.4,10
John Cooper,59,Other,Paulstad,3,6.1,80,5,1.4,1,4,2,1.2,95,16,3,1.9,0.2,Other,7,7.5,10
Amy Greene,48,Female,Port Nicholasberg,7.9,8.5,96,6,0.1,5,2,4,1,58,9,2.2,1.9,1.3,Education,5,3.5,10
Kathryn Perez,88,Male,South Thomas,5.4,5.9,69,4,1.3,2,7,8,0.6,83,19,1.6,1,0.4,Browsing,7,6.1,10
Michael Williams,74,Female,Margaretmouth,3,5.1,83,4,1.1,1,9,4,1.5,58,6,1.7,1.7,2,Social Media,8,6.7,6.2
Patricia Johnson,46,Female,North Scott,2.7,6.3,92,3,1.4,2,9,3,1.7,112,17,2.1,2.6,0.9,Gaming,10,5.7,9.9
Jennifer Davis,13,Other,Port Angelabury,2.7,5.1,60,9,0,4,6,2,1.7,117,16,2.5,1.3,0.2,Education,5,4.8,9.5
Desiree Brady,78,Male,East Amanda,6.9,3.6,79,5,1,5,5,10,0.8,32,7,2,1.3,1.2,Education,7,6.6,10
Mark Crawford,18,Other,Port Alan,4.6,7.2,85,7,1.3,7,6,4,1.1,71,5,1.8,0.8,1.1,Social Media,8,6.2,6
Samantha Sanchez,30,Male,Port Bianca,5.5,5.9,78,5,1.2,1,7,3,0.7,44,14,0.9,1.3,1.3,Gaming,3,3.9,8.4
Kelly Giles,50,Male,West Kimberlyfurt,6.2,4.5,65,3,1.3,5,7,1,1.1,115,10,2.1,1.6,1,Social Media,7,6.6,10
Jeffrey Crawford,85,Male,Shawburgh,4.9,9.3,50,4,0,7,4,1,0.3,117,5,3.5,4,0.9,Education,3,7,10
Tammy Gallegos,63,Female,West Cynthia,6.6,8.1,77,7,1,6,1,3,1.5,147,14,2,1.7,1.6,Education,8,9.2,10
Jared Bridges,72,Other,Jessicaberg,8.6,5.2,63,0,1.1,6,4,8,1.3,72,15,0.2,1.8,0.7,Browsing,9,6.6,10
Bailey Flores,96,Other,Lake Martha,4.1,4.5,59,8,0.8,10,1,8,0.6,32,10,2.2,1,0.5,Education,9,9.3,7.7
Jennifer Hudson,9,Male,Vickifurt,4.2,6.9,86,8,1.7,5,1,9,1,100,15,2.6,2.2,0.9,Browsing,4,6.9,10
Kathleen Friedman,64,Male,Port Ryan,8,5.5,87,7,2.2,1,8,5,1,26,16,3.3,1.3,2.6,Gaming,6,5.2,10
Cynthia Fisher,71,Male,Lake Jamiebury,3.3,5.3,50,4,0,7,1,6,0.3,141,14,0.7,3.2,0,Gaming,5,5.1,10
Amy Carroll,52,Male,South Williamfort,4.7,6.6,59,6,1.5,10,4,7,0.6,123,18,1,1.1,1.2,Social Media,2,0.3,9.6
Monica Roberts,13,Male,West Kristinaview,3.9,6.3,64,9,1.3,6,7,8,0.9,135,11,1.2,1.5,1.5,Social Media,7,2.2,8.4
Laura Steele,61,Female,Burketown,4.4,6.8,62,8,1.4,2,1,10,1.7,66,7,0.9,0,0,Browsing,1,6.9,4.6
Lauren Matthews,63,Male,Christineton,8.3,6.2,65,9,1.3,5,6,8,1.3,144,5,2.3,0,1.5,Other,1,2.9,10
Marcus Stephens,33,Other,Schmitthaven,7.4,6.9,67,0,1.7,6,6,8,1.6,117,16,1.6,0.7,0.7,Social Media,8,4.6,10
Cameron Hansen,8,Female,North Christina,1.7,6.8,68,9,0.8,5,9,1,0.7,107,18,2.4,0.6,0,Education,6,6.2,7
Richard Choi,70,Other,Jasonmouth,6.2,8.3,77,1,0.4,7,2,4,1.1,141,5,3.8,1.4,0.9,Browsing,8,6.2,10
Nicholas Gomez,10,Other,Roberttown,5.2,7.2,96,5,0.1,4,10,3,0.7,119,16,3,1.7,0.6,Gaming,3,6.1,10
Jessica Smith,82,Other,Andreville,3.3,5.3,89,7,0,9,6,9,0.3,77,18,1.1,1,0,Gaming,9,10.4,7.9
Brittany Myers,47,Male,Nguyenfort,6.9,6.2,89,4,1.1,3,2,7,0.3,140,13,3,1.9,0.7,Gaming,9,4.1,10
Alicia White,100,Male,Millerton,6.6,5,88,8,2.1,10,7,10,2,56,20,2.1,1.4,0.4,Education,9,6.2,10
Brandi King,53,Female,Evanschester,1,6.2,60,5,1.4,6,3,10,0.4,25,16,3.1,0,2,Gaming,4,5.8,4.7
Kenneth Travis,88,Male,Castilloside,6.7,4.7,67,3,1.3,10,1,3,0.8,129,6,2.8,0.8,1.7,Gaming,7,9.9,10
James Sanchez,21,Other,Adamsside,7.1,7.1,67,2,0.4,1,1,4,2.6,119,16,2.8,2.4,0,Gaming,4,5.3,10
Tyrone Cabrera,26,Male,New Ericview,4.7,6.5,69,6,1.5,10,3,1,1.3,119,5,3.4,1,0,Gaming,10,4.7,9.2
Curtis Castro,67,Male,East Amber,8.1,7.2,91,6,1.4,8,7,8,0.3,120,13,1.4,2.2,1.9,Education,9,6,10
Steven Chavez,72,Male,Yuport,4.3,5.9,75,4,2.5,5,1,8,2.2,105,17,1.9,1.4,1.4,Other,1,3.1,10
Cody Young,78,Male,Savagetown,3.9,8.4,97,3,0.5,1,7,8,1.2,66,13,4.3,1.6,1,Education,6,4.9,9.5
Victoria Clark,32,Other,Collinston,9,7.3,79,6,1.1,1,1,7,0.8,127,17,3.1,1.5,0,Education,1,6.9,10
Peggy Bond,16,Other,East Laurieview,4.5,7.8,93,5,1,7,7,2,1.3,83,17,2.6,1.2,2.4,Education,8,6,9.5
Candace Anderson,96,Other,Kimberlyburgh,4.4,4.1,56,9,1.7,7,7,1,0.8,129,16,4.9,1.4,0.6,Other,10,6.1,10
Tammy Payne,47,Other,South Thomas,5.9,8.5,87,2,0,4,10,9,1.5,48,6,3,1.5,0.7,Social Media,2,6.5,8.3
Mrs. Lauren Ayala,95,Other,Port Dustin,3.3,6.1,78,2,3.6,2,9,9,1.2,141,17,1.9,1,0.2,Education,8,5.1,9.4
Edward Jackson,57,Female,Davidberg,2.9,5.5,71,1,1.1,9,2,1,0.9,117,10,2,1.6,1.3,Gaming,7,4.6,8.1
Kathleen Hoffman,26,Male,Walkerburgh,3.4,4.7,79,10,0.9,8,4,5,0.6,123,6,3,1.7,0.7,Other,5,7.6,9.4
Kelly Carrillo,36,Female,West Tracey,6.3,7.4,77,8,1.6,4,4,10,1.4,110,8,3.7,1.5,1.9,Gaming,1,3.1,10
Derek York,71,Male,Shafferville,3.7,7.9,89,9,0.7,8,7,7,0.3,92,7,0.9,2.1,0.9,Education,7,2,6
Ashley Velasquez,24,Male,Johnsonstad,4.7,6.9,77,7,0.9,6,10,1,1,105,12,0.7,1.3,0,Education,8,8.3,7.8
Sara Williams,80,Other,Traceymouth,6.7,7.9,54,8,1.3,7,10,7,0.2,84,9,2.2,1.3,1.4,Education,9,7.9,9.7
Linda Fletcher,51,Female,Lake Samanthabury,5.3,7.7,63,1,2.2,10,6,4,0.7,135,6,1.7,2.4,1.6,Other,9,5.7,9.4
Jaclyn Salazar,86,Male,Alejandraburgh,8.7,5.2,87,5,0,4,8,2,1.2,146,10,4,0.6,0.4,Gaming,6,5.9,10
Stephanie Fletcher,48,Other,Port Jonathanside,3.9,8,80,3,1.5,4,5,10,0.3,41,11,2.6,0,1.1,Social Media,2,5.7,5.5
Zachary Parks,37,Female,Bradyton,7.4,6.6,100,3,1.1,2,3,5,1.3,90,19,2.1,0.8,0.6,Other,9,9.3,10
Chelsey Dillon,60,Female,Franciston,6.8,10,98,7,1.7,7,8,3,1.7,72,16,2.4,1,2,Social Media,10,7.6,9.8
Elijah Lewis,69,Female,Candacemouth,7,8,70,5,1.9,8,5,7,0.7,133,9,1.6,0.6,0.4,Gaming,5,1.8,9.7
Joseph Franklin,47,Male,West Lisaview,5.8,7.2,88,5,1,9,9,2,0.7,30,15,2.6,0.7,0.5,Browsing,10,9.7,9.1
Christine Hansen,65,Other,Jamesbury,4.1,5.5,67,2,0.2,1,7,4,0.5,120,16,4.3,2.1,2,Browsing,8,11,10
Kristen Holmes,62,Other,Hickschester,4.9,4.4,86,5,1.8,7,6,7,0.9,90,15,2.5,1.2,0.5,Other,2,4.2,10
Michelle Ellis,92,Male,West Erikashire,4.4,6.6,95,3,1.1,8,1,3,0.6,91,15,2.2,1.6,0.8,Education,1,3.9,9.7
Dr. David Howard,37,Male,South Taylortown,6.3,3,58,8,1.1,5,2,8,0.6,48,6,3.9,1.1,0.1,Other,6,8.5,10
Michael Tucker,68,Male,New Gregstad,5.8,6.9,84,8,2.3,3,9,3,0.5,106,7,3.1,1.2,1.5,Social Media,6,5.5,10
Brenda Lee,82,Female,Morganshire,6.5,7.2,58,10,0.3,9,6,5,1.1,74,6,2.6,2,1.1,Gaming,9,8.7,10
Jennifer Levine,3,Female,West Michael,5.8,7,76,8,1.7,5,5,5,1.7,116,19,3,2.2,2.2,Education,9,3.3,10
Joshua Moore,25,Other,Gonzalezland,5.1,7,64,4,1.5,10,6,7,1.7,140,5,0.5,1.7,0.9,Gaming,2,7.7,7.6
Marcus Gibson,55,Other,East Thomas,5.2,6,87,0,0.8,1,5,8,1.6,79,11,4.2,0,1.2,Gaming,6,3.7,10
Mackenzie Wright,43,Male,Antoniohaven,4.8,8.6,78,8,0,3,3,10,1,51,9,3,2.4,1.6,Social Media,7,7.1,8.7
Christopher Smith,23,Male,Lake Susanport,4.3,4.3,91,6,0,9,8,5,0.9,98,7,2.2,0.6,0.3,Social Media,8,5.2,8.3
Andrew Kim,74,Female,North Cristina,7.6,6.4,88,4,0,6,4,8,1.8,77,15,4.6,0,0,Gaming,7,7.1,10
Rebecca Reynolds,65,Female,Lake Adrianberg,5.5,6.9,65,3,0.4,6,9,9,0.4,82,6,1.6,1.1,0.2,Browsing,4,6.2,7.6
Catherine Bradshaw,35,Other,Sarahfurt,4.8,6.3,76,8,1.6,2,6,7,1.1,136,11,4.8,1.3,1.2,Social Media,8,5.3,10
Tammy Carter,50,Other,Marktown,7.4,6.3,75,6,1.5,9,7,2,0.3,85,9,2.9,2.9,0,Social Media,1,7.6,10
Maria Ochoa,50,Male,South Tonyton,3.8,5.1,85,1,0,8,7,8,0.6,104,10,1.8,0.5,1.3,Social Media,9,9.3,7.6
James Herrera,60,Other,Lake Nancy,7.3,5.6,84,1,0.2,4,1,8,1.2,22,11,2.2,2,0.9,Other,1,4.1,10
Brian Coleman,64,Female,Kevinport,0.7,4.6,64,6,1.3,10,1,9,0.4,146,10,2.2,0.2,1.3,Other,3,5.3,5.7
Gregory Martinez,78,Male,South Adamside,3,6.6,82,0,0.8,1,3,3,0.6,84,6,3.7,2.3,1,Other,9,6.7,8.6
Richard Nichols,32,Other,East Andrewport,4,7.4,83,3,0.3,10,4,4,0.6,55,18,4.1,0.8,0,Gaming,3,7.4,9.9
Steven Tanner,3,Other,Craigstad,8.1,6.8,59,1,0,7,3,1,0.6,129,7,0.7,2.5,1.5,Other,1,5.1,10
Michael Farmer,3,Male,Guerrafort,5.2,6.6,56,10,0.9,6,8,4,0.5,98,16,2.4,1.4,1,Other,5,8.1,10
Keith Ward,97,Other,Parsonsfurt,1.7,6.2,52,8,1.3,2,2,7,1.3,76,17,1.1,1.9,0.7,Social Media,7,6.5,6.5
Aaron Parker,27,Male,Port Maryborough,6.8,7.4,100,9,1.1,6,7,7,1.9,123,11,4.2,1.6,0.7,Social Media,5,6.8,10
Wesley Miller,98,Female,Sherryton,6.4,10,89,0,1.2,9,9,8,0.5,128,9,4.1,3.2,1.4,Education,2,4.6,10
Tiffany Santiago,8,Male,Wilsonton,7.2,7.4,63,7,0.1,2,3,8,0.7,112,11,3.8,0.5,0.5,Social Media,4,2.3,10
Lindsey Sloan,26,Female,Lake Adamfort,3.3,5.7,93,5,1.7,9,6,7,0.1,72,17,3.6,1.2,0.3,Other,10,6.6,10
Kristin Martin,64,Male,East Patrickburgh,4.7,8.5,98,3,0.2,4,5,8,0.1,20,16,2.8,1.3,0.3,Social Media,8,6.2,8.2
Valerie Blevins,57,Female,East Lynn,2.8,7,93,5,0.8,4,5,2,1.5,42,6,2.8,1,0.6,Social Media,10,8.2,5.1
Morgan Mills,8,Female,East Derrick,6.2,8.7,53,1,0.1,7,6,10,0.5,24,12,1.6,2.5,1,Other,7,6.7,8.8
Christian Perkins,3,Male,East Wendymouth,6.7,8.5,91,4,1.4,8,7,2,0.2,49,9,2.1,3.5,1.5,Browsing,8,5.7,10
John Evans,95,Other,Port Pamelatown,2.2,5.1,69,7,1,6,3,8,1.3,24,16,2.6,2.2,1.1,Other,9,7.6,8.1
Ashley Chang,19,Female,Harrisbury,4.1,6.3,57,3,2,5,3,7,0.4,78,13,1.7,2.2,0.3,Gaming,3,5.8,9
Julia Ross,5,Male,Taraland,5.3,5.9,85,9,0.6,6,1,2,0.9,98,14,2.3,2.6,0.9,Education,8,8.9,10
Ashley Foster,41,Female,South Shelleyfort,4.7,3.4,71,1,1.8,7,4,7,1.5,87,9,0.1,0,0,Education,7,6.7,6.6
Katherine Hensley,37,Other,East Angelaland,4.5,7.4,67,9,1.1,10,1,2,0.8,68,11,2.6,1,0.9,Gaming,4,7.4,8
Christopher Watts,81,Male,South Josephstad,5.6,5.8,85,4,0.6,1,2,8,1.4,44,7,2.1,0,1.5,Gaming,7,6.6,7.1
Benjamin Bradley,17,Other,Rhondafurt,7.3,5,67,2,0.5,8,5,5,1.4,77,18,1.2,1.1,0.8,Gaming,4,8,10
Rebecca Edwards,15,Female,Jaredmouth,4.6,9.4,55,2,0.8,2,4,5,1.1,113,7,1.6,1.7,1.6,Education,4,8.6,6.9
Sarah Harrison,68,Other,North Cherylburgh,2,5.9,74,5,0.9,2,9,6,1.1,47,12,2,1.3,1.4,Other,1,4.4,5.7
Kimberly Hooper,25,Male,Bentleytown,1.6,6.1,70,7,0,9,5,1,1.6,42,5,4.8,0.8,1.5,Social Media,3,1.8,6
Melissa Becker DDS,59,Other,East Pamelaside,2,7.5,76,0,1.1,1,7,2,0.9,115,7,1.4,1.9,1.3,Gaming,10,5.6,5.2
John Griffin,97,Male,Loveberg,3,4.7,51,10,3,1,8,1,0.3,42,18,1.7,3.3,0,Education,3,6.7,10
James Alvarez,23,Female,Port Veronicamouth,6.9,3.9,73,9,2.2,1,6,4,0.8,58,16,3.3,2.8,1.8,Education,3,4.9,10
Brad Sanchez,41,Other,Port Samanthaberg,5.5,5.4,63,8,0,5,10,3,2,72,14,1.4,0,0.8,Other,1,8.3,8.4
Cory Santiago,74,Female,Robertshire,6.6,9.5,53,5,1,8,4,1,0.8,121,13,4.5,1.7,2.8,Gaming,6,6.4,10
Shelley Curtis,18,Other,South Brittanychester,8.3,5.7,58,9,1.6,3,1,3,0.1,21,9,1.7,0.8,1.2,Other,10,6.5,10
Cheryl Thomas,16,Other,East Chadhaven,3.6,3.1,56,0,2.4,5,9,4,0.9,80,16,3.2,0.3,1.5,Social Media,7,7.3,10
Meagan Banks,42,Male,Glennshire,5.4,3.1,88,0,0,7,10,10,0.7,29,11,2.9,0.3,0.5,Social Media,3,1.7,9.8
Dr. Elizabeth Porter,50,Other,Mirandaborough,2.1,7.3,71,7,0.5,4,1,4,1.7,54,9,2.5,1.5,1.6,Education,5,2.1,5.3
Monica Shelton,74,Male,Brownchester,7.8,7.4,81,0,1.9,5,6,10,1.1,135,14,3.6,1.1,1.3,Browsing,6,4.5,10
Heather Wilson,16,Male,Chelseafurt,4.3,3.9,64,2,2.9,10,10,6,0.6,119,9,1.1,1.4,1.8,Other,4,6.7,9
Angie White,43,Other,West Maryport,7.4,7.4,80,0,1.1,1,2,3,1.9,57,20,1.9,0.9,1.6,Gaming,10,4.6,10
Grace Mullen,50,Female,West Donna,6.4,7.9,72,4,2,5,6,4,0.7,23,13,0.7,2.4,0.7,Other,3,7.4,8.6
Megan Colon,41,Other,West Jeremy,2,8.4,78,10,1.6,5,1,10,0.4,140,17,2,0.8,2.4,Gaming,1,5.1,6.8
Christine Cunningham,9,Male,Lake Laurastad,2.6,6.8,65,0,1.3,6,5,2,1,26,6,1.8,2.8,1.1,Other,6,9.5,5.5
Sonya Armstrong,58,Other,North Brian,4.4,5,68,7,3.7,2,4,8,1.8,70,18,2.4,1.1,0.7,Browsing,2,5.1,10
Heather Johnson,54,Other,Masonbury,4.8,6.5,57,7,0.7,9,10,8,0.8,68,16,0.5,3.7,0,Education,3,7.9,10
